image_path,actual_label,predicted_label,generated_caption
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp1_Image001.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp1_Image002.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp1_Image003.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, lobed to irregular dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: peaked, rostrum round and antirostrum blunt to poorly developed, excisura narrow with shallow, acute notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp1_Image004.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp1_Image005.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp1_Image006.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: peaked, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp1_Image007.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp1_Image008.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, no excisura and no notch. Posterior region: round.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp1_Image009.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, lobed to irregular dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: peaked, rostrum round and antirostrum blunt, excisura wide with wide, shallow notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp1_Image010.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: peaked, rostrum blunt and antirostrum angled, excisura narrow with shallow, acute notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp1_Image011.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, sinuate to lobed dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: peaked, rostrum blunt and antirostrum blunt, excisura shallow with shallow, acute notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp1_Image012.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: peaked, rostrum blunt and antirostrum angled, excisura narrow with shallow, acute notch. Posterior region: round.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp1_Image013.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, sinuate to lobed dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: peaked, rostrum blunt and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp1_Image014.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image001.tif,Amphiprion clarki,Brachypterois serrulata,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly defined, notch absent. Posterior region: oblique to round.
Class detected:Brachypterois serrulata"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image002.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image003.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image004.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image005.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum peaked, excisura wide with wide, shallow notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image006.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum blunt or poorly developed, excisura moderately wide with shallow, acute notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image007.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: peaked, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image008.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image009.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image010.tif,Amphiprion clarki,Brachypterois serrulata,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly defined, notch absent. Posterior region: oblique to round.
Class detected:Brachypterois serrulata"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image011.tif,Amphiprion clarki,Brachypterois serrulata,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly defined, notch absent. Posterior region: oblique to round.
Class detected:Brachypterois serrulata"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image012.tif,Amphiprion clarki,Brachypterois serrulata,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly defined, notch absent. Posterior region: oblique to round.
Class detected:Brachypterois serrulata"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image013.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, no excisura and no notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image014.tif,Amphiprion clarki,Brachypterois serrulata,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly defined, notch absent. Posterior region: round.
Class detected:Brachypterois serrulata"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image015.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, no excisura and no notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image016.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, no excisura and no notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image017.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, no excisura and no notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image018.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image019.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, no excisura and no notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/L_AC_sp3_Image020.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, no excisura and no notch. Posterior region: round.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/R_AC_sp1_Image001.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, lobed to irregular dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: peaked, rostrum peaked and antirostrum blunt, excisura narrow with shallow, acute notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/R_AC_sp1_Image002.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, no excisura and no notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/R_AC_sp1_Image003.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, no excisura and no notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
/home/reshma/Otolith/captioning/otolith/OOD_final/Amphiprion clarki/R_AC_sp1_Image004.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis"
