Image,actual_label,predicted_label,generated_caption,Description
L_AC_sp1_Image001.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image002.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image003.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, lobed to irregular dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: peaked, rostrum round and antirostrum blunt to poorly developed, excisura narrow with shallow, acute notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image004.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image005.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image006.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: peaked, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image007.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena orientalis","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image008.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, no excisura and no notch. Posterior region: round.
Class detected:Dactyloptena orientalis","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image009.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, lobed to irregular dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: peaked, rostrum round and antirostrum blunt, excisura wide with wide, shallow notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image010.tif,Amphiprion clarki,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: peaked, rostrum blunt and antirostrum angled, excisura narrow with shallow, acute notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
