Image,actual_label,predicted_label,generated_caption,Description
L_AC_sp1_Image001.tif,Amphiprion clarki,Chlorophthalmus acutifrons,"user

Analyze this otolith image and provide:

A detailed description of all observable morphological features:

<SHAPE> Describe the overall shape (discoidal, elliptic, oval, rectangular, square, rhomboidal, triangular, fusiform, lanceolated, pentagonal, cuneiform, hour-glass, bullet-shaped, kidney-shaped, oblong) and any notable characteristics </SHAPE>
<SULCUS_ACUSTICUS>
Type: heterosulcoid, homosulcoid, archaesulcoid, or pseudo-archaesulcoid
Position: ostial, caudal, ostio-caudal, mesial, pseudo-ostial, or para-ostial
Placement: median, supramedian, or inframedian
</SULCUS_ACUSTICUS>
<OSTIUM> Describe shape (funnel-like, tubular, round-oval, bent, discoidal, elliptic, rectangular) and size relative to cauda </OSTIUM>
<CAUDA> Describe shape (tubular, elliptic, round-oval), orientation (straight, curved, flexed), and endpoint location </CAUDA>
<ANTERIOR_REGION>
Shape: peaked, angled, notched, blunt, double-peaked, round, flattened, oblique, lanceolated, or irregular
Rostrum: describe presence/absence, length, width, shape (pointed, round, blunt)
Antirostrum: describe presence/absence, size relative to rostrum, shape
Excisura: describe width, presence/absence of notch, notch shape
</ANTERIOR_REGION>
<POSTERIOR_REGION> Describe shape (round, oblique, pointed, angled, flattened, irregular) </POSTERIOR_REGION>
<MARGINS> Describe type (entire, dentate, irregular, sinuate, lobed, serrate, crenate) </MARGINS>
For flatfish, include:
<CIRCUMSULCAL_DEPRESSION> Describe if complete/incomplete, width, proximity to sulcus </CIRCUMSULCAL_DEPRESSION>

Your species identification, formatted as:

<SPECIES_PREDICTION>
Based on the morphological features described above, this otolith most closely matches [Scientific name].
Key distinguishing features supporting this identification:

[Feature 1]
[Feature 2]
[Feature 3]
</SPECIES_PREDICTION>

If the otolith matches multiple possible species, explain the key distinguishing features between them and why you've selected your final identification.
assistant

Type: Sagittal. Side: Right otolith. Shape: oblong, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium:  Funnel-like, shorter than the cauda. Cauda: tubular, much longer than the ostium, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: blunt.
Class detected:Chlorophthalmus acutifrons","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image002.tif,Amphiprion clarki,Chlorophthalmus acutifrons,"user

Analyze this otolith image and provide:

A detailed description of all observable morphological features:

<SHAPE> Describe the overall shape (discoidal, elliptic, oval, rectangular, square, rhomboidal, triangular, fusiform, lanceolated, pentagonal, cuneiform, hour-glass, bullet-shaped, kidney-shaped, oblong) and any notable characteristics </SHAPE>
<SULCUS_ACUSTICUS>
Type: heterosulcoid, homosulcoid, archaesulcoid, or pseudo-archaesulcoid
Position: ostial, caudal, ostio-caudal, mesial, pseudo-ostial, or para-ostial
Placement: median, supramedian, or inframedian
</SULCUS_ACUSTICUS>
<OSTIUM> Describe shape (funnel-like, tubular, round-oval, bent, discoidal, elliptic, rectangular) and size relative to cauda </OSTIUM>
<CAUDA> Describe shape (tubular, elliptic, round-oval), orientation (straight, curved, flexed), and endpoint location </CAUDA>
<ANTERIOR_REGION>
Shape: peaked, angled, notched, blunt, double-peaked, round, flattened, oblique, lanceolated, or irregular
Rostrum: describe presence/absence, length, width, shape (pointed, round, blunt)
Antirostrum: describe presence/absence, size relative to rostrum, shape
Excisura: describe width, presence/absence of notch, notch shape
</ANTERIOR_REGION>
<POSTERIOR_REGION> Describe shape (round, oblique, pointed, angled, flattened, irregular) </POSTERIOR_REGION>
<MARGINS> Describe type (entire, dentate, irregular, sinuate, lobed, serrate, crenate) </MARGINS>
For flatfish, include:
<CIRCUMSULCAL_DEPRESSION> Describe if complete/incomplete, width, proximity to sulcus </CIRCUMSULCAL_DEPRESSION>

Your species identification, formatted as:

<SPECIES_PREDICTION>
Based on the morphological features described above, this otolith most closely matches [Scientific name].
Key distinguishing features supporting this identification:

[Feature 1]
[Feature 2]
[Feature 3]
</SPECIES_PREDICTION>

If the otolith matches multiple possible species, explain the key distinguishing features between them and why you've selected your final identification.
assistant

Type: Sagittal. Side: Right otolith. Shape: oblong, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: broken, shape indeterminable,  rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: blunt.
Class detected:Chlorophthalmus acutifrons","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image003.tif,Amphiprion clarki,Chlorophthalmus acutifrons,"user

Analyze this otolith image and provide:

A detailed description of all observable morphological features:

<SHAPE> Describe the overall shape (discoidal, elliptic, oval, rectangular, square, rhomboidal, triangular, fusiform, lanceolated, pentagonal, cuneiform, hour-glass, bullet-shaped, kidney-shaped, oblong) and any notable characteristics </SHAPE>
<SULCUS_ACUSTICUS>
Type: heterosulcoid, homosulcoid, archaesulcoid, or pseudo-archaesulcoid
Position: ostial, caudal, ostio-caudal, mesial, pseudo-ostial, or para-ostial
Placement: median, supramedian, or inframedian
</SULCUS_ACUSTICUS>
<OSTIUM> Describe shape (funnel-like, tubular, round-oval, bent, discoidal, elliptic, rectangular) and size relative to cauda </OSTIUM>
<CAUDA> Describe shape (tubular, elliptic, round-oval), orientation (straight, curved, flexed), and endpoint location </CAUDA>
<ANTERIOR_REGION>
Shape: peaked, angled, notched, blunt, double-peaked, round, flattened, oblique, lanceolated, or irregular
Rostrum: describe presence/absence, length, width, shape (pointed, round, blunt)
Antirostrum: describe presence/absence, size relative to rostrum, shape
Excisura: describe width, presence/absence of notch, notch shape
</ANTERIOR_REGION>
<POSTERIOR_REGION> Describe shape (round, oblique, pointed, angled, flattened, irregular) </POSTERIOR_REGION>
<MARGINS> Describe type (entire, dentate, irregular, sinuate, lobed, serrate, crenate) </MARGINS>
For flatfish, include:
<CIRCUMSULCAL_DEPRESSION> Describe if complete/incomplete, width, proximity to sulcus </CIRCUMSULCAL_DEPRESSION>

Your species identification, formatted as:

<SPECIES_PREDICTION>
Based on the morphological features described above, this otolith most closely matches [Scientific name].
Key distinguishing features supporting this identification:

[Feature 1]
[Feature 2]
[Feature 3]
</SPECIES_PREDICTION>

If the otolith matches multiple possible species, explain the key distinguishing features between them and why you've selected your final identification.
assistant

Type: Sagittal. Side: Right otolith. Shape: oblong, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium:  Funnel-like, shorter than the cauda. Cauda: tubular, much longer than the ostium, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: round.
Class detected:Chlorophthalmus acutifrons","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image004.tif,Amphiprion clarki,Chlorophthalmus acutifrons,"user

Analyze this otolith image and provide:

A detailed description of all observable morphological features:

<SHAPE> Describe the overall shape (discoidal, elliptic, oval, rectangular, square, rhomboidal, triangular, fusiform, lanceolated, pentagonal, cuneiform, hour-glass, bullet-shaped, kidney-shaped, oblong) and any notable characteristics </SHAPE>
<SULCUS_ACUSTICUS>
Type: heterosulcoid, homosulcoid, archaesulcoid, or pseudo-archaesulcoid
Position: ostial, caudal, ostio-caudal, mesial, pseudo-ostial, or para-ostial
Placement: median, supramedian, or inframedian
</SULCUS_ACUSTICUS>
<OSTIUM> Describe shape (funnel-like, tubular, round-oval, bent, discoidal, elliptic, rectangular) and size relative to cauda </OSTIUM>
<CAUDA> Describe shape (tubular, elliptic, round-oval), orientation (straight, curved, flexed), and endpoint location </CAUDA>
<ANTERIOR_REGION>
Shape: peaked, angled, notched, blunt, double-peaked, round, flattened, oblique, lanceolated, or irregular
Rostrum: describe presence/absence, length, width, shape (pointed, round, blunt)
Antirostrum: describe presence/absence, size relative to rostrum, shape
Excisura: describe width, presence/absence of notch, notch shape
</ANTERIOR_REGION>
<POSTERIOR_REGION> Describe shape (round, oblique, pointed, angled, flattened, irregular) </POSTERIOR_REGION>
<MARGINS> Describe type (entire, dentate, irregular, sinuate, lobed, serrate, crenate) </MARGINS>
For flatfish, include:
<CIRCUMSULCAL_DEPRESSION> Describe if complete/incomplete, width, proximity to sulcus </CIRCUMSULCAL_DEPRESSION>

Your species identification, formatted as:

<SPECIES_PREDICTION>
Based on the morphological features described above, this otolith most closely matches [Scientific name].
Key distinguishing features supporting this identification:

[Feature 1]
[Feature 2]
[Feature 3]
</SPECIES_PREDICTION>

If the otolith matches multiple possible species, explain the key distinguishing features between them and why you've selected your final identification.
assistant

Type: Sagittal. Side: Right otolith. Shape: oblong, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium:  Funnel-like, shorter than the cauda. Cauda: tubular, much longer than the ostium, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: round.
Class detected:Chlorophthalmus acutifrons","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image005.tif,Amphiprion clarki,Chlorophthalmus acutifrons,"user

Analyze this otolith image and provide:

A detailed description of all observable morphological features:

<SHAPE> Describe the overall shape (discoidal, elliptic, oval, rectangular, square, rhomboidal, triangular, fusiform, lanceolated, pentagonal, cuneiform, hour-glass, bullet-shaped, kidney-shaped, oblong) and any notable characteristics </SHAPE>
<SULCUS_ACUSTICUS>
Type: heterosulcoid, homosulcoid, archaesulcoid, or pseudo-archaesulcoid
Position: ostial, caudal, ostio-caudal, mesial, pseudo-ostial, or para-ostial
Placement: median, supramedian, or inframedian
</SULCUS_ACUSTICUS>
<OSTIUM> Describe shape (funnel-like, tubular, round-oval, bent, discoidal, elliptic, rectangular) and size relative to cauda </OSTIUM>
<CAUDA> Describe shape (tubular, elliptic, round-oval), orientation (straight, curved, flexed), and endpoint location </CAUDA>
<ANTERIOR_REGION>
Shape: peaked, angled, notched, blunt, double-peaked, round, flattened, oblique, lanceolated, or irregular
Rostrum: describe presence/absence, length, width, shape (pointed, round, blunt)
Antirostrum: describe presence/absence, size relative to rostrum, shape
Excisura: describe width, presence/absence of notch, notch shape
</ANTERIOR_REGION>
<POSTERIOR_REGION> Describe shape (round, oblique, pointed, angled, flattened, irregular) </POSTERIOR_REGION>
<MARGINS> Describe type (entire, dentate, irregular, sinuate, lobed, serrate, crenate) </MARGINS>
For flatfish, include:
<CIRCUMSULCAL_DEPRESSION> Describe if complete/incomplete, width, proximity to sulcus </CIRCUMSULCAL_DEPRESSION>

Your species identification, formatted as:

<SPECIES_PREDICTION>
Based on the morphological features described above, this otolith most closely matches [Scientific name].
Key distinguishing features supporting this identification:

[Feature 1]
[Feature 2]
[Feature 3]
</SPECIES_PREDICTION>

If the otolith matches multiple possible species, explain the key distinguishing features between them and why you've selected your final identification.
assistant

Type: Sagittal. Side: Right otolith. Shape: oblong, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium:  Funnel-like, shorter than the cauda. Cauda: tubular, much longer than the ostium, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: round.
Class detected:Chlorophthalmus acutifrons","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image006.tif,Amphiprion clarki,Brachypterois serrulata,"user

Analyze this otolith image and provide:

A detailed description of all observable morphological features:

<SHAPE> Describe the overall shape (discoidal, elliptic, oval, rectangular, square, rhomboidal, triangular, fusiform, lanceolated, pentagonal, cuneiform, hour-glass, bullet-shaped, kidney-shaped, oblong) and any notable characteristics </SHAPE>
<SULCUS_ACUSTICUS>
Type: heterosulcoid, homosulcoid, archaesulcoid, or pseudo-archaesulcoid
Position: ostial, caudal, ostio-caudal, mesial, pseudo-ostial, or para-ostial
Placement: median, supramedian, or inframedian
</SULCUS_ACUSTICUS>
<OSTIUM> Describe shape (funnel-like, tubular, round-oval, bent, discoidal, elliptic, rectangular) and size relative to cauda </OSTIUM>
<CAUDA> Describe shape (tubular, elliptic, round-oval), orientation (straight, curved, flexed), and endpoint location </CAUDA>
<ANTERIOR_REGION>
Shape: peaked, angled, notched, blunt, double-peaked, round, flattened, oblique, lanceolated, or irregular
Rostrum: describe presence/absence, length, width, shape (pointed, round, blunt)
Antirostrum: describe presence/absence, size relative to rostrum, shape
Excisura: describe width, presence/absence of notch, notch shape
</ANTERIOR_REGION>
<POSTERIOR_REGION> Describe shape (round, oblique, pointed, angled, flattened, irregular) </POSTERIOR_REGION>
<MARGINS> Describe type (entire, dentate, irregular, sinuate, lobed, serrate, crenate) </MARGINS>
For flatfish, include:
<CIRCUMSULCAL_DEPRESSION> Describe if complete/incomplete, width, proximity to sulcus </CIRCUMSULCAL_DEPRESSION>

Your species identification, formatted as:

<SPECIES_PREDICTION>
Based on the morphological features described above, this otolith most closely matches [Scientific name].
Key distinguishing features supporting this identification:

[Feature 1]
[Feature 2]
[Feature 3]
</SPECIES_PREDICTION>

If the otolith matches multiple possible species, explain the key distinguishing features between them and why you've selected your final identification.
assistant

Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: tubular, longer than cauda. Cauda: tubular, straight. Anterior region: angled to blunt, rostrum blunt and antirostrum blunt to poorly defined, excisura narrow with shallow notch. Posterior region: blunt.
Class detected:Brachypterois serrulata","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image007.tif,Amphiprion clarki,Chlorophthalmus acutifrons,"user

Analyze this otolith image and provide:

A detailed description of all observable morphological features:

<SHAPE> Describe the overall shape (discoidal, elliptic, oval, rectangular, square, rhomboidal, triangular, fusiform, lanceolated, pentagonal, cuneiform, hour-glass, bullet-shaped, kidney-shaped, oblong) and any notable characteristics </SHAPE>
<SULCUS_ACUSTICUS>
Type: heterosulcoid, homosulcoid, archaesulcoid, or pseudo-archaesulcoid
Position: ostial, caudal, ostio-caudal, mesial, pseudo-ostial, or para-ostial
Placement: median, supramedian, or inframedian
</SULCUS_ACUSTICUS>
<OSTIUM> Describe shape (funnel-like, tubular, round-oval, bent, discoidal, elliptic, rectangular) and size relative to cauda </OSTIUM>
<CAUDA> Describe shape (tubular, elliptic, round-oval), orientation (straight, curved, flexed), and endpoint location </CAUDA>
<ANTERIOR_REGION>
Shape: peaked, angled, notched, blunt, double-peaked, round, flattened, oblique, lanceolated, or irregular
Rostrum: describe presence/absence, length, width, shape (pointed, round, blunt)
Antirostrum: describe presence/absence, size relative to rostrum, shape
Excisura: describe width, presence/absence of notch, notch shape
</ANTERIOR_REGION>
<POSTERIOR_REGION> Describe shape (round, oblique, pointed, angled, flattened, irregular) </POSTERIOR_REGION>
<MARGINS> Describe type (entire, dentate, irregular, sinuate, lobed, serrate, crenate) </MARGINS>
For flatfish, include:
<CIRCUMSULCAL_DEPRESSION> Describe if complete/incomplete, width, proximity to sulcus </CIRCUMSULCAL_DEPRESSION>

Your species identification, formatted as:

<SPECIES_PREDICTION>
Based on the morphological features described above, this otolith most closely matches [Scientific name].
Key distinguishing features supporting this identification:

[Feature 1]
[Feature 2]
[Feature 3]
</SPECIES_PREDICTION>

If the otolith matches multiple possible species, explain the key distinguishing features between them and why you've selected your final identification.
assistant

Type: Sagittal. Side: Right otolith. Shape: oblong, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium:  Funnel-like, shorter than the cauda. Cauda: tubular, much longer than the ostium, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: blunt.
Class detected:Chlorophthalmus acutifrons","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image008.tif,Amphiprion clarki,Chlorophthalmus acutifrons,"user

Analyze this otolith image and provide:

A detailed description of all observable morphological features:

<SHAPE> Describe the overall shape (discoidal, elliptic, oval, rectangular, square, rhomboidal, triangular, fusiform, lanceolated, pentagonal, cuneiform, hour-glass, bullet-shaped, kidney-shaped, oblong) and any notable characteristics </SHAPE>
<SULCUS_ACUSTICUS>
Type: heterosulcoid, homosulcoid, archaesulcoid, or pseudo-archaesulcoid
Position: ostial, caudal, ostio-caudal, mesial, pseudo-ostial, or para-ostial
Placement: median, supramedian, or inframedian
</SULCUS_ACUSTICUS>
<OSTIUM> Describe shape (funnel-like, tubular, round-oval, bent, discoidal, elliptic, rectangular) and size relative to cauda </OSTIUM>
<CAUDA> Describe shape (tubular, elliptic, round-oval), orientation (straight, curved, flexed), and endpoint location </CAUDA>
<ANTERIOR_REGION>
Shape: peaked, angled, notched, blunt, double-peaked, round, flattened, oblique, lanceolated, or irregular
Rostrum: describe presence/absence, length, width, shape (pointed, round, blunt)
Antirostrum: describe presence/absence, size relative to rostrum, shape
Excisura: describe width, presence/absence of notch, notch shape
</ANTERIOR_REGION>
<POSTERIOR_REGION> Describe shape (round, oblique, pointed, angled, flattened, irregular) </POSTERIOR_REGION>
<MARGINS> Describe type (entire, dentate, irregular, sinuate, lobed, serrate, crenate) </MARGINS>
For flatfish, include:
<CIRCUMSULCAL_DEPRESSION> Describe if complete/incomplete, width, proximity to sulcus </CIRCUMSULCAL_DEPRESSION>

Your species identification, formatted as:

<SPECIES_PREDICTION>
Based on the morphological features described above, this otolith most closely matches [Scientific name].
Key distinguishing features supporting this identification:

[Feature 1]
[Feature 2]
[Feature 3]
</SPECIES_PREDICTION>

If the otolith matches multiple possible species, explain the key distinguishing features between them and why you've selected your final identification.
assistant

Type: Sagittal. Side: Right otolith. Shape: oblong, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium:  Funnel-like, shorter than the cauda. Cauda: tubular, much longer than the ostium, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: blunt.
Class detected:Chlorophthalmus acutifrons","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image009.tif,Amphiprion clarki,Chlorophthalmus acutifrons,"user

Analyze this otolith image and provide:

A detailed description of all observable morphological features:

<SHAPE> Describe the overall shape (discoidal, elliptic, oval, rectangular, square, rhomboidal, triangular, fusiform, lanceolated, pentagonal, cuneiform, hour-glass, bullet-shaped, kidney-shaped, oblong) and any notable characteristics </SHAPE>
<SULCUS_ACUSTICUS>
Type: heterosulcoid, homosulcoid, archaesulcoid, or pseudo-archaesulcoid
Position: ostial, caudal, ostio-caudal, mesial, pseudo-ostial, or para-ostial
Placement: median, supramedian, or inframedian
</SULCUS_ACUSTICUS>
<OSTIUM> Describe shape (funnel-like, tubular, round-oval, bent, discoidal, elliptic, rectangular) and size relative to cauda </OSTIUM>
<CAUDA> Describe shape (tubular, elliptic, round-oval), orientation (straight, curved, flexed), and endpoint location </CAUDA>
<ANTERIOR_REGION>
Shape: peaked, angled, notched, blunt, double-peaked, round, flattened, oblique, lanceolated, or irregular
Rostrum: describe presence/absence, length, width, shape (pointed, round, blunt)
Antirostrum: describe presence/absence, size relative to rostrum, shape
Excisura: describe width, presence/absence of notch, notch shape
</ANTERIOR_REGION>
<POSTERIOR_REGION> Describe shape (round, oblique, pointed, angled, flattened, irregular) </POSTERIOR_REGION>
<MARGINS> Describe type (entire, dentate, irregular, sinuate, lobed, serrate, crenate) </MARGINS>
For flatfish, include:
<CIRCUMSULCAL_DEPRESSION> Describe if complete/incomplete, width, proximity to sulcus </CIRCUMSULCAL_DEPRESSION>

Your species identification, formatted as:

<SPECIES_PREDICTION>
Based on the morphological features described above, this otolith most closely matches [Scientific name].
Key distinguishing features supporting this identification:

[Feature 1]
[Feature 2]
[Feature 3]
</SPECIES_PREDICTION>

If the otolith matches multiple possible species, explain the key distinguishing features between them and why you've selected your final identification.
assistant

Type: Sagittal. Side: Right otolith. Shape: oblong, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium:  Funnel-like, shorter than the cauda. Cauda: tubular, much longer than the ostium, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: blunt.
Class detected:Chlorophthalmus acutifrons","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
L_AC_sp1_Image010.tif,Amphiprion clarki,Chlorophthalmus acutifrons,"user

Analyze this otolith image and provide:

A detailed description of all observable morphological features:

<SHAPE> Describe the overall shape (discoidal, elliptic, oval, rectangular, square, rhomboidal, triangular, fusiform, lanceolated, pentagonal, cuneiform, hour-glass, bullet-shaped, kidney-shaped, oblong) and any notable characteristics </SHAPE>
<SULCUS_ACUSTICUS>
Type: heterosulcoid, homosulcoid, archaesulcoid, or pseudo-archaesulcoid
Position: ostial, caudal, ostio-caudal, mesial, pseudo-ostial, or para-ostial
Placement: median, supramedian, or inframedian
</SULCUS_ACUSTICUS>
<OSTIUM> Describe shape (funnel-like, tubular, round-oval, bent, discoidal, elliptic, rectangular) and size relative to cauda </OSTIUM>
<CAUDA> Describe shape (tubular, elliptic, round-oval), orientation (straight, curved, flexed), and endpoint location </CAUDA>
<ANTERIOR_REGION>
Shape: peaked, angled, notched, blunt, double-peaked, round, flattened, oblique, lanceolated, or irregular
Rostrum: describe presence/absence, length, width, shape (pointed, round, blunt)
Antirostrum: describe presence/absence, size relative to rostrum, shape
Excisura: describe width, presence/absence of notch, notch shape
</ANTERIOR_REGION>
<POSTERIOR_REGION> Describe shape (round, oblique, pointed, angled, flattened, irregular) </POSTERIOR_REGION>
<MARGINS> Describe type (entire, dentate, irregular, sinuate, lobed, serrate, crenate) </MARGINS>
For flatfish, include:
<CIRCUMSULCAL_DEPRESSION> Describe if complete/incomplete, width, proximity to sulcus </CIRCUMSULCAL_DEPRESSION>

Your species identification, formatted as:

<SPECIES_PREDICTION>
Based on the morphological features described above, this otolith most closely matches [Scientific name].
Key distinguishing features supporting this identification:

[Feature 1]
[Feature 2]
[Feature 3]
</SPECIES_PREDICTION>

If the otolith matches multiple possible species, explain the key distinguishing features between them and why you've selected your final identification.
assistant

Type: Sagittal. Side: Right otolith. Shape: oblong, entire to sinuate dorsal and entire to sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium:  Funnel-like, shorter than the cauda. Cauda: tubular, much longer than the ostium, slightly curved. anterior region: round, rostrum and antirostrum poorly defined. Excisura and notch absent. Posterior region: round.
Class detected:Chlorophthalmus acutifrons","Type: Sagittal, Side: Left otolith. Shape: fusiform, irregular dorsal margin, entire to sinuate ventral margin. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: blunt, Rostrum and antirostrum poorly developed, Excisura and Notch absent. Posterior region: Oblique."
