actual_label,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L,METEOR,CIDEr
Amphiprion clarki,0.784027331452841,0.6967073623379929,0.6209810892148082,0.5492386739595002,0.7379018136173056,0.4181440517017745,0.0
Grouper,0.8013803900846808,0.6650973066663888,0.5771082753187999,0.503360417353101,0.7315525145082432,0.39926350553320283,0.0
Lutjanus malabaricus,0.7046909864140789,0.5887065291907498,0.5061702123733982,0.4407135234547777,0.6705865916423488,0.35647740239652304,0.0
Nemipterus sp,0.7032059241316513,0.5825532779722147,0.4980525467635049,0.42807555336509656,0.6853990245345705,0.35363838879971193,0.0
Oreochromis sp,0.7414416190020825,0.6075182583009019,0.5122528141452403,0.43880963203354884,0.6948485417383697,0.37455698897573286,0.0
Species1,0.6818159945316872,0.5720694093435523,0.4922773283630171,0.42435132406465487,0.6643758863317551,0.35663533701475253,0.0
Species2,0.6427186091828035,0.5112615930220235,0.3849742204067229,0.2962751867522424,0.558685368938178,0.3415890989930036,0.0
Species4,0.7228194045879601,0.597368136450925,0.5175790276360309,0.45021768256463773,0.6638128683521753,0.37313016849354,0.0
Species5,0.7357564828242366,0.6041534014732296,0.5130235429332995,0.4375296393673264,0.6506362337062654,0.37496037252369474,0.0
Species6,0.7139947063243305,0.6044670589013106,0.5217060975084007,0.44822368904502524,0.6658441071906174,0.393860789879728,0.0
Species7,0.7646634615384615,0.6546160632825757,0.5665048903700743,0.49282881725175376,0.6909877540256786,0.3882591084231332,0.0
