,Alepocephalus bicolor,Apist carinatus,Apistus carinatus,Brachypterois serrulata,Chlorophthalmus acutifrons,Choridactylus multibarbus,Coryphaenoides sp,Cubiceps baxteri,Dactyloptena orientalis,Dactyloptena papilio,Dactyloptena tiltoni,Ectreposbastes imus,Grammoplites suppositus,Hoplosteth imus,Hoplostethus sp,Lepidotrigla sp,Lepidotrigla spiloptera,Minous dempsterae,Minous inermis,Minous trachycephalus,Neomerinthe erostris,Parascombrops pellucidus,Platycephalus indicus,Polymixia fusca,Psenopsis sp,Pterygotrigla arabica,Pterygotrigla hemisticta,Pterygotrigla macrorhynchus,Satyrichthys laticeps,Setarches guentheri,Sorsogona tuberculata,Synagrops japonicus,Uranoscopus sp
Alepocephalus bicolor,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apist carinatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apistus carinatus,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachypterois serrulata,0,0,0,1,0,0,0,0,201,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorophthalmus acutifrons,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choridactylus multibarbus,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coryphaenoides sp,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cubiceps baxteri,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dactyloptena orientalis,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dactyloptena papilio,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dactyloptena tiltoni,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ectreposbastes imus,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0
