Image,actual_label,predicted_label,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L,METEOR,CIDEr
ab3980512.tif,Alepocephalus bicolor,Alepocephalus bicolor,0.9420289855072463,0.8963789997361302,0.8597947809122523,0.82881793352428,0.9166666666666666,0.5589166438261901,0.0
ab3980518.tif,Alepocephalus bicolor,Synagrops japonicus,0.772534097093828,0.6638677891578164,0.5889485640088823,0.5386257621282937,0.6808510638297872,0.39084044523026,0.0
ab3980520.tif,Alepocephalus bicolor,Alepocephalus bicolor,0.8918918918918919,0.8490254011530137,0.809583373000608,0.7779122633522814,0.8653846153846153,0.5446811856513657,0.0
Api 3 dorsal1.6x3.tif,Apistus carinatus,Apist carinatus,0.9116641553146879,0.8729683169514848,0.8437264186509918,0.8161989842603965,0.8631578947368421,0.5523410256925406,0.0
Api dorsal 1.6x.tif,Apistus carinatus,Apist carinatus,0.8969598947450961,0.858133558397704,0.8287588797889763,0.8053153182704754,0.8631578947368421,0.5495847533937582,0.0
Brachypterois serrulata_Sp4_L (1).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (10).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (100).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (101).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (102).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (103).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7794117647058824,0.673563245083418,0.5841668943552593,0.5096593980337051,0.6444444444444444,0.37386093293913114,0.0
Brachypterois serrulata_Sp4_L (104).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (105).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7794117647058824,0.673563245083418,0.5841668943552593,0.5096593980337051,0.6444444444444444,0.37386093293913114,0.0
Brachypterois serrulata_Sp4_L (106).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (107).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (108).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (109).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (11).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (110).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (111).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (112).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7761194029850746,0.6772119393918102,0.5892658657467053,0.5149844789909486,0.6444444444444444,0.3694274932868754,0.0
Brachypterois serrulata_Sp4_L (113).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7761194029850746,0.6772119393918102,0.5892658657467053,0.5149844789909486,0.6444444444444444,0.3694274932868754,0.0
Brachypterois serrulata_Sp4_L (114).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (115).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7794117647058824,0.673563245083418,0.5841668943552593,0.5096593980337051,0.6444444444444444,0.37386093293913114,0.0
Brachypterois serrulata_Sp4_L (116).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (12).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (13).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (14).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (15).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (16).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (17).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8208955223880597,0.7227641798688508,0.6424873900562849,0.5783548791657982,0.711111111111111,0.4085692825957476,0.0
Brachypterois serrulata_Sp4_L (18).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8208955223880597,0.7227641798688508,0.6424873900562849,0.5783548791657982,0.711111111111111,0.4085692825957476,0.0
Brachypterois serrulata_Sp4_L (19).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8208955223880597,0.7227641798688508,0.6424873900562849,0.5783548791657982,0.711111111111111,0.4085692825957476,0.0
Brachypterois serrulata_Sp4_L (2).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (20).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8208955223880597,0.7227641798688508,0.6424873900562849,0.5783548791657982,0.711111111111111,0.4085692825957476,0.0
Brachypterois serrulata_Sp4_L (21).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
