Image,actual_label,predicted_label,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L,METEOR,CIDEr
ab3980512.tif,Alepocephalus bicolor,Alepocephalus bicolor,0.9130434782608695,0.8671321459661007,0.830275039849288,0.7990150639354452,0.875,0.5337158870649631,0.0
ab3980518.tif,Alepocephalus bicolor,Alepocephalus bicolor,0.8666666666666667,0.8098492797155875,0.7555135526476879,0.7039544108998369,0.8627450980392156,0.5270805984124523,0.0
ab3980520.tif,Alepocephalus bicolor,Alepocephalus bicolor,0.8666666666666667,0.8098492797155875,0.7607241555978602,0.7201955774137757,0.8431372549019608,0.526068250706931,0.0
Api 3 dorsal1.6x3.tif,Apistus carinatus,Apistus carinatus,0.9,0.8697825815285305,0.8489687993592228,0.8301392197527898,0.8775510204081632,0.5844096922457264,0.0
Api dorsal 1.6x.tif,Apistus carinatus,Apistus carinatus,0.8378581168289079,0.7747631595670195,0.7256863155869785,0.6831040876419822,0.7741935483870969,0.461175451572474,0.0
Brachypterois serrulata_Sp4_L (1).tif,Brachypterois serrulata,Minous dempsterae,0.7857142857142857,0.6578086464321604,0.5418470963860217,0.4482301775521988,0.6881720430107526,0.40837253351344793,0.0
Brachypterois serrulata_Sp4_L (10).tif,Brachypterois serrulata,Minous dempsterae,0.8208022429376937,0.6964737983932455,0.5934750528701881,0.49918331278820294,0.6966292134831461,0.4147492221456436,0.0
Brachypterois serrulata_Sp4_L (100).tif,Brachypterois serrulata,Minous dempsterae,0.7857142857142857,0.6664078172425557,0.5537514379852659,0.4621527864437886,0.6881720430107526,0.41223050217309914,0.0
Brachypterois serrulata_Sp4_L (101).tif,Brachypterois serrulata,Minous dempsterae,0.7714285714285715,0.6431676268853183,0.5337769507092208,0.4432139201461941,0.6666666666666666,0.3967136381692415,0.0
Brachypterois serrulata_Sp4_L (102).tif,Brachypterois serrulata,Minous dempsterae,0.7464788732394366,0.6195994032624134,0.5181286808535968,0.43183041443713516,0.6236559139784946,0.3815445140227583,0.0
Brachypterois serrulata_Sp4_L (103).tif,Brachypterois serrulata,Minous dempsterae,0.7588479025149345,0.6516305536141205,0.5536905047794515,0.46751924524308786,0.6744186046511628,0.3842293875401534,0.0
Brachypterois serrulata_Sp4_L (104).tif,Brachypterois serrulata,Minous dempsterae,0.7714285714285715,0.6431676268853183,0.5337769507092208,0.4432139201461941,0.6666666666666666,0.3967136381692415,0.0
Brachypterois serrulata_Sp4_L (105).tif,Brachypterois serrulata,Minous dempsterae,0.7857142857142857,0.6664078172425557,0.5537514379852659,0.4621527864437886,0.6881720430107526,0.41223050217309914,0.0
Brachypterois serrulata_Sp4_L (106).tif,Brachypterois serrulata,Minous dempsterae,0.75,0.6251760315483433,0.5387098006876866,0.45550409439114,0.6382978723404256,0.3912311121700135,0.0
Brachypterois serrulata_Sp4_L (107).tif,Brachypterois serrulata,Minous dempsterae,0.7857142857142857,0.6578086464321604,0.5418470963860217,0.4482301775521988,0.6881720430107526,0.40837253351344793,0.0
Brachypterois serrulata_Sp4_L (108).tif,Brachypterois serrulata,Minous dempsterae,0.7857142857142857,0.6664078172425557,0.5537514379852659,0.4621527864437886,0.6881720430107526,0.41223050217309914,0.0
