Class,Image,Systematics,Otolith_type,Otolith_side,Description,Sampling_location,Depth ,Vernacular name,Habitat
Species1,L_sp1_Image001.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: elliptic, crenate dorsal margin and crenate ventral margin. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum long, broad, pointed, antirostrum short, narrow, sharply pointed, excisura wide with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,L_sp1_Image002.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: elliptic, crenate dorsal margin and crenate ventral margin. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum long, broad, pointed, antirostrum short, narrow, sharply pointed, excisura wide with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,L_sp1_Image003.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: elliptic, crenate dorsal margin and crenate ventral margin. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum long, broad, pointed, antirostrum short, narrow, sharply pointed, excisura wide with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,L_sp1_Image004.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: elliptic, crenate dorsal margin and crenate ventral margin. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum long, broad, pointed, antirostrum short, narrow, sharply pointed, excisura wide with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,L_sp1_Image005.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: elliptic, crenate dorsal margin and crenate ventral margin. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum long, broad, pointed, antirostrum short, narrow, sharply pointed, excisura wide with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,L_sp1_Image006.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: elliptic, crenate dorsal margin and crenate ventral margin. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum long, broad, pointed, antirostrum short, narrow, sharply pointed, excisura wide with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,L_sp1_Image007.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: elliptic, crenate dorsal margin and crenate ventral margin. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum long, broad, pointed, antirostrum short, narrow, sharply pointed, excisura wide with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,L_sp1_Image008.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: elliptic, crenate dorsal margin and crenate ventral margin. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum long, broad, pointed, antirostrum short, narrow, sharply pointed, excisura wide with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,L_sp1_Image009.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: elliptic, crenate dorsal margin and crenate ventral margin. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum long, broad, pointed, antirostrum short, narrow, sharply pointed, excisura wide with an acute, deep notch. Posterior region: irregular.",,,,deep sea
Species1,L_sp1_Image010.jpg,,Sagittal,left,"Type: Sagittal, Side: Left otolith. Shape: elliptic, crenate dorsal margin and crenate ventral margin. Sulcus acusticus: heterosulcoid, ostial, supramedian. Ostium: funnel-like, shorter than the cauda. Cauda: tubular, strongly curved. Anterior region: double peaked, rostrum long, broad, pointed, antirostrum short, narrow, sharply pointed, excisura wide with an acute, deep notch. Posterior region: irregular.",,,,deep sea
