Image,actual_label,predicted_label,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L,METEOR,CIDEr
ab3980512.tif,Alepocephalus bicolor,Alepocephalus bicolor,0.8933333333333333,0.8367676978589579,0.7879265046045217,0.7476883539437155,0.9,0.5617639862303371,0.0
ab3980518.tif,Alepocephalus bicolor,Alepocephalus bicolor,0.9010370254544775,0.8337188471641126,0.7795153698605286,0.7311919995332058,0.8541666666666666,0.5142327754150762,0.0
ab3980520.tif,Alepocephalus bicolor,Alepocephalus bicolor,0.9452054794520548,0.9166147764474597,0.8921177970255038,0.868138765002153,0.9411764705882353,0.6036263546491526,0.0
Api 3 dorsal1.6x3.tif,Apistus carinatus,Apist carinatus,0.9116641553146879,0.8729683169514848,0.8437264186509918,0.8161989842603965,0.8631578947368421,0.5523410256925406,0.0
Api dorsal 1.6x.tif,Apistus carinatus,Apist carinatus,0.8969598947450961,0.858133558397704,0.8287588797889763,0.8053153182704754,0.8631578947368421,0.5495847533937582,0.0
Brachypterois serrulata_Sp4_L (1).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7910447761194029,0.683692584079352,0.5930192527114986,0.5174427086408707,0.6666666666666666,0.37746335961516014,0.0
Brachypterois serrulata_Sp4_L (10).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (100).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (101).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7794117647058824,0.673563245083418,0.5841668943552593,0.5096593980337051,0.6444444444444444,0.37386093293913114,0.0
Brachypterois serrulata_Sp4_L (102).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (103).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (104).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (105).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (106).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (107).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (108).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (109).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (11).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7910447761194029,0.683692584079352,0.5930192527114986,0.5174427086408707,0.6666666666666666,0.37746335961516014,0.0
Brachypterois serrulata_Sp4_L (110).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (111).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (112).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7681159420289855,0.6637296772022304,0.5755749566513416,0.5021068004384567,0.6373626373626374,0.3727245775198632,0.0
Brachypterois serrulata_Sp4_L (113).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7794117647058824,0.673563245083418,0.5841668943552593,0.5096593980337051,0.6444444444444444,0.37386093293913114,0.0
Brachypterois serrulata_Sp4_L (114).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (115).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (116).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (12).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (13).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (14).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7910447761194029,0.683692584079352,0.5930192527114986,0.5174427086408707,0.6666666666666666,0.37746335961516014,0.0
Brachypterois serrulata_Sp4_L (15).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.6989039684559486,0.60862198619083,0.5335163008824692,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (16).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7910447761194029,0.683692584079352,0.5930192527114986,0.5174427086408707,0.6666666666666666,0.37746335961516014,0.0
Brachypterois serrulata_Sp4_L (17).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7910447761194029,0.683692584079352,0.5930192527114986,0.5174427086408707,0.6666666666666666,0.37746335961516014,0.0
Brachypterois serrulata_Sp4_L (18).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7910447761194029,0.683692584079352,0.5930192527114986,0.5174427086408707,0.6666666666666666,0.37746335961516014,0.0
