Image,actual_label,predicted_label,BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-L,METEOR,CIDEr
ab3980512.tif,Alepocephalus bicolor,Alepocephalus bicolor,0.9129457121230028,0.8748410663994214,0.8407051007323286,0.8109014202806335,0.9148936170212766,0.542906476110716,0.0
ab3980518.tif,Alepocephalus bicolor,Parascombrops pellucidus,0.873151174654987,0.7738177566567052,0.7086786891149784,0.6634645282119719,0.75,0.4668875729675301,0.0
ab3980520.tif,Alepocephalus bicolor,Alepocephalus bicolor,0.9295774647887324,0.9000335339158415,0.8746770178554637,0.849821131374244,0.9,0.5678743340344501,0.0
Api 3 dorsal1.6x3.tif,Apistus carinatus,Apistus carinatus,0.9116641553146879,0.8729683169514848,0.8437264186509918,0.8161989842603965,0.8631578947368421,0.5523410256925406,0.0
Api dorsal 1.6x.tif,Apistus carinatus,Apistus carinatus,0.8969598947450961,0.858133558397704,0.8287588797889763,0.8053153182704754,0.8631578947368421,0.5495847533937582,0.0
Brachypterois serrulata_Sp4_L (1).tif,Brachypterois serrulata,Minous dempsterae,0.7714285714285715,0.6431676268853183,0.5337769507092208,0.4432139201461941,0.6666666666666666,0.3967136381692415,0.0
Brachypterois serrulata_Sp4_L (10).tif,Brachypterois serrulata,Minous dempsterae,0.7605633802816901,0.6254173656748958,0.5213670691811452,0.4338530946686528,0.6236559139784946,0.389503018808982,0.0
Brachypterois serrulata_Sp4_L (100).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7534246575342466,0.6469692838038701,0.5735258333499398,0.5094777599234551,0.6736842105263158,0.3891847862058507,0.0
Brachypterois serrulata_Sp4_L (101).tif,Brachypterois serrulata,Minous dempsterae,0.7464788732394366,0.6195994032624134,0.5181286808535968,0.43183041443713516,0.6236559139784946,0.3815445140227583,0.0
Brachypterois serrulata_Sp4_L (102).tif,Brachypterois serrulata,Minous dempsterae,0.7323943661971831,0.5964347461697983,0.48406069573797594,0.3909125795637697,0.6021505376344085,0.3663855446231477,0.0
Brachypterois serrulata_Sp4_L (103).tif,Brachypterois serrulata,Dactyloptena orientalis,0.75,0.6335680316305624,0.5499149033306413,0.479860513941241,0.6382978723404256,0.37455888193290515,0.0
Brachypterois serrulata_Sp4_L (104).tif,Brachypterois serrulata,Minous dempsterae,0.7464788732394366,0.6195994032624134,0.5181286808535968,0.43183041443713516,0.6236559139784946,0.3815445140227583,0.0
Brachypterois serrulata_Sp4_L (105).tif,Brachypterois serrulata,Minous dempsterae,0.7464788732394366,0.6195994032624134,0.5181286808535968,0.43183041443713516,0.6236559139784946,0.3815445140227583,0.0
Brachypterois serrulata_Sp4_L (106).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7464788732394366,0.6365778729503405,0.5543073809686611,0.48449738593145464,0.6451612903225806,0.3676699902063214,0.0
Brachypterois serrulata_Sp4_L (107).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7464788732394366,0.6365778729503405,0.5543073809686611,0.48449738593145464,0.6451612903225806,0.3676699902063214,0.0
Brachypterois serrulata_Sp4_L (108).tif,Brachypterois serrulata,Dactyloptena orientalis,0.7746478873239436,0.6735891433240474,0.6009223203727443,0.5366978561236772,0.6881720430107526,0.3907556632440176,0.0
Brachypterois serrulata_Sp4_L (109).tif,Brachypterois serrulata,Minous dempsterae,0.7681159420289855,0.6197241087891391,0.5014737684083982,0.4044195954031993,0.6153846153846154,0.375956347812198,0.0
Brachypterois serrulata_Sp4_L (11).tif,Brachypterois serrulata,Minous dempsterae,0.8,0.6724387801454332,0.5710202905020763,0.4793562067633613,0.6881720430107526,0.41922369907080304,0.0
Brachypterois serrulata_Sp4_L (110).tif,Brachypterois serrulata,Minous dempsterae,0.7605633802816901,0.6425552611110494,0.5378341919130268,0.4504817529885975,0.6451612903225806,0.3932090247694574,0.0
Brachypterois serrulata_Sp4_L (111).tif,Brachypterois serrulata,Minous dempsterae,0.7454739577884284,0.637556146470098,0.5458671919760552,0.46260627955676314,0.6279069767441862,0.36964664324685215,0.0
Brachypterois serrulata_Sp4_L (112).tif,Brachypterois serrulata,Minous dempsterae,0.7681159420289855,0.6197241087891391,0.5014737684083982,0.4044195954031993,0.6153846153846154,0.375956347812198,0.0
Brachypterois serrulata_Sp4_L (113).tif,Brachypterois serrulata,Minous dempsterae,0.7605633802816901,0.6254173656748958,0.5213670691811452,0.4338530946686528,0.6236559139784946,0.389503018808982,0.0
Brachypterois serrulata_Sp4_L (114).tif,Brachypterois serrulata,Minous dempsterae,0.7605633802816901,0.6254173656748958,0.5213670691811452,0.4338530946686528,0.6236559139784946,0.389503018808982,0.0
Brachypterois serrulata_Sp4_L (115).tif,Brachypterois serrulata,Minous dempsterae,0.75,0.6251760315483433,0.5387098006876866,0.45550409439114,0.6382978723404256,0.3912311121700135,0.0
Brachypterois serrulata_Sp4_L (116).tif,Brachypterois serrulata,Minous dempsterae,0.7681159420289855,0.6376908470162375,0.5333699258737967,0.44462885098004684,0.6373626373626374,0.3830939333690436,0.0
Brachypterois serrulata_Sp4_L (12).tif,Brachypterois serrulata,Minous dempsterae,0.7464788732394366,0.6195994032624134,0.5181286808535968,0.43183041443713516,0.6236559139784946,0.3815445140227583,0.0
Brachypterois serrulata_Sp4_L (13).tif,Brachypterois serrulata,Dactyloptena orientalis,0.835820895522388,0.7464676351646189,0.6757774615227791,0.6167200921107615,0.7333333333333332,0.4246963268277084,0.0
Brachypterois serrulata_Sp4_L (14).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.7075863382312864,0.6269965723681812,0.5625319817104294,0.688888888888889,0.39283271429389294,0.0
Brachypterois serrulata_Sp4_L (15).tif,Brachypterois serrulata,Dactyloptena orientalis,0.8059701492537313,0.7075863382312864,0.6269965723681812,0.5625319817104294,0.688888888888889,0.39283271429389294,0.0
