path,source,true_label,assign_class,maha_min,pca_residual,knn_mean
/home/reshma/Otolith/otolith_Final/model_data/test/Alepocephalus bicolor/ab3980512.tif,Test,Alepocephalus bicolor,Alepocephalus bicolor,47.4844,3.6118739,49.50702917098999
/home/reshma/Otolith/otolith_Final/model_data/test/Alepocephalus bicolor/ab3980518.tif,Test,Alepocephalus bicolor,Alepocephalus bicolor,44.3393,3.7829237,52.95742223739624
/home/reshma/Otolith/otolith_Final/model_data/test/Alepocephalus bicolor/ab3980520.tif,Test,Alepocephalus bicolor,Alepocephalus bicolor,43.47446,3.963066,52.99838716506958
/home/reshma/Otolith/otolith_Final/model_data/test/Apistus carinatus/Api 3 dorsal1.6x3.tif,Test,Apistus carinatus,Apistus carinatus,42.064808,2.5357528,59.24559766769409
/home/reshma/Otolith/otolith_Final/model_data/test/Apistus carinatus/Api dorsal 1.6x.tif,Test,Apistus carinatus,Apistus carinatus,42.06481,2.806547,63.889772968292235
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (1).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.109974,1.4236267,2.65298445449894
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (10).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.690155,1.4991688,2.7216626186322195
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (100).tif,Test,Brachypterois serrulata,Brachypterois serrulata,47.87102,1.4156417,3.4290461707115174
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (101).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.928177,1.2492416,3.3251934559672076
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (102).tif,Test,Brachypterois serrulata,Brachypterois serrulata,44.663303,1.2940884,3.2641716073614884
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (103).tif,Test,Brachypterois serrulata,Brachypterois serrulata,46.43884,1.3474537,3.378111119137459
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (104).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.00682,1.2008427,3.3371454806279166
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (105).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.594185,1.3678578,3.4143951787543414
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (106).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.768986,1.3309926,3.35690401390483
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (107).tif,Test,Brachypterois serrulata,Brachypterois serrulata,49.485306,1.2720298,3.4851334047317506
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (108).tif,Test,Brachypterois serrulata,Brachypterois serrulata,51.13797,1.5675261,3.8164544509512712
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (109).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.879986,1.1978338,2.529632739887886
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (11).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.3484,1.5179832,2.587706100459002
